Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
12039550,NESTLE Papinha Carne c  Legumes 6x115gBR,2104.20.00      ,7891000049273,,7891000048962,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039551,NESTLE Papinha PedCarneLegumes 6x170g BR,2104.20.00      ,7891000049280,,7891000048788,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039555,NESTLE PapPed PeitodeFrango Leg 6x170gBR,2104.20.00      ,7891000049242,,7891000048771,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039557,NESTLE Papinha Ameixa 6x120g BR         ,2104.20.00      ,7891000049181,,7891000048795,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12039566,NESTLE Papinha Car Leg Macarrao 6x115gBR,2104.20.00      ,7891000049099,,7891000048924,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12041117,MAGGI Sopao Galinha Caipira 24x200g BR  ,2104.10.11      ,7891000049891,,7891000049907,117,MAGGI,118,SOPAO,Nestlé
12045051,PASSATEMPO Biscoito Leite 54x150g BR    ,1905.31.00      ,7891000051436,,7891000051443,105,BISCOITOS,32,PASSATEMPO BISCOITOS SECOS & DOCES,Nestlé
12045053,NESCAU ACTIGEN-E Achoc Po Light30x400gBR,1806.90.00EX01  ,7891000051474,,7891000051481,104,BEBIDAS POS,16,NESCAU LATA 2.0 400G,Nestlé
12048678,NESCAU 2.0 ACTIGEN-E Achoc Po 30x400g BR,1806.90.00EX01  ,7891000053508,,7891000053515,104,BEBIDAS POS,16,NESCAU LATA 2.0 400G,Nestlé
12071333,NESCAU 2.0 ACTIGEN-E Achoc Po 48x200g BR,1806.90.00EX01  ,7891000061190,,7891000061206,104,BEBIDAS POS,15,NESCAU LATA 2.0 200G,Nestlé
12089917,NESTLE Papinha Mamao c  Laranja 6x120gBR,2104.20.00      ,7891000064870,,7891000064887,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12091059,MOCA Leite Cond Trdl Caixinha 27x395g BR,0402.99.00      ,7891000065440,,7891000065457,114,LEITES CULINARIOS,100,MOCA CAIXINHA,Nestlé
12094297,PRE NAN B NW026-1-S 12x400g BR          ,0402.21.10      ,7616100342914,,8717405008693,111,FORMULAS INFANTIS,74,FORMULAS ESPECIAIS,Nestlé
12096242,NESCAU 2.0 ACTGE AchocPoSachet 12x800gBR,1806.90.00EX01  ,7891000067178,,7891000067185,104,BEBIDAS POS,20,NESCAU SACHET 2.0 800G,Nestlé
12096838,MAGGI TEMPSAB FeijaoOvoArroz 48 10x5g BR,2103.90.21      ,7891000066898,,7891000066904,117,MAGGI,119,TEMPEROS SACHET,Nestlé
12097176,ALPINO Bebida Garrafa Plas 4 6x280ml  BR,2202.99.00EX01  ,7891000067048,7891000067055,7891000067062,110,FAST,69,ACHOC. PET REGULAR,Nestlé
12105484,MUCILON BL Multicereais Sachet 12x230gBR,1901.10.30      ,7891000035634,,7891000035641,102,BABY FOOD,8,MUCILON TRAD SACHET,Nestlé
12105485,MUCILON BL Arroz Sachet 12x230g BR      ,1901.10.30      ,7891000012109,,7891000012116,102,BABY FOOD,8,MUCILON TRAD SACHET,Nestlé
12105544,MUCILON BL Arroz Aveia Sachet 12x230g BR,1901.10.30      ,7891000035610,,7891000035627,102,BABY FOOD,8,MUCILON TRAD SACHET,Nestlé
12105545,MUCILON BL Multicereais Lata 18x400g BR ,1901.10.30      ,7891000035832,,7891000035849,102,BABY FOOD,7,MUCILON TRAD LATA,Nestlé
12105548,MUCILON BL Milho Lata 18x400g BR        ,1901.10.30      ,7891000011294,,17891000009250,102,BABY FOOD,7,MUCILON TRAD LATA,Nestlé
12105550,MUCILON BL Arroz Lata 18x400g BR        ,1901.10.30      ,7891000011287,,17891000009243,102,BABY FOOD,7,MUCILON TRAD LATA,Nestlé
12106029,SNOW FLAKES CerMat Sachet 12 16x30g  BR ,1904.10.00      ,7891000368503,7891000069257,7891000069264,107,CEREAIS MATINAIS,43,CEREAIS MATINAIS SACHET,Nestlé
12106033,NESCAU Cer Matinal Sachet 12 16x30g  BR ,1904.10.00      ,7891000367506,7891000069271,7891000069288,107,CEREAIS MATINAIS,43,CEREAIS MATINAIS SACHET,Nestlé
12106220,MUCILON BL Milho Sachet 12x230g BR      ,1901.10.30      ,7891000012123,,7891000012130,102,BABY FOOD,8,MUCILON TRAD SACHET,Nestlé
